"compare1","compare2","temperature","pT.overlap1","cT.overlap1","pT.overlap2","cT.overlap2"
"PIPO_spring_o","PIPO_spring_n",45,FALSE,FALSE,FALSE,FALSE
"PIPO_spring_o","PIPO_spring_n",50,TRUE,FALSE,FALSE,FALSE
"PIPO_spring_o","PIPO_spring_n",55,TRUE,FALSE,FALSE,FALSE
"PIPO_spring_o","PIPO_spring_n",60,TRUE,FALSE,TRUE,FALSE
"PIPO_spring_o","PIPO_spring_n",65,TRUE,FALSE,FALSE,FALSE
"PIPO_spring_o","PIPO_autumn_o",45,TRUE,TRUE,TRUE,TRUE
"PIPO_spring_o","PIPO_autumn_o",50,TRUE,TRUE,TRUE,TRUE
"PIPO_spring_o","PIPO_autumn_o",55,TRUE,TRUE,TRUE,TRUE
"PIPO_spring_o","PIPO_autumn_o",60,TRUE,TRUE,TRUE,FALSE
"PIPO_spring_o","PIPO_autumn_o",65,TRUE,TRUE,TRUE,FALSE
"PIPO_spring_o","PIPO_autumn_n",45,TRUE,TRUE,TRUE,TRUE
"PIPO_spring_o","PIPO_autumn_n",50,TRUE,TRUE,TRUE,FALSE
"PIPO_spring_o","PIPO_autumn_n",55,TRUE,FALSE,TRUE,FALSE
"PIPO_spring_o","PIPO_autumn_n",60,TRUE,FALSE,TRUE,FALSE
"PIPO_spring_o","PIPO_autumn_n",65,TRUE,FALSE,TRUE,FALSE
"PIPO_spring_n","PIPO_autumn_o",45,FALSE,FALSE,FALSE,FALSE
"PIPO_spring_n","PIPO_autumn_o",50,TRUE,FALSE,FALSE,FALSE
"PIPO_spring_n","PIPO_autumn_o",55,TRUE,FALSE,FALSE,FALSE
"PIPO_spring_n","PIPO_autumn_o",60,TRUE,FALSE,TRUE,FALSE
"PIPO_spring_n","PIPO_autumn_o",65,TRUE,FALSE,FALSE,FALSE
"PIPO_spring_n","PIPO_autumn_n",45,FALSE,FALSE,FALSE,FALSE
"PIPO_spring_n","PIPO_autumn_n",50,TRUE,FALSE,FALSE,FALSE
"PIPO_spring_n","PIPO_autumn_n",55,TRUE,FALSE,FALSE,FALSE
"PIPO_spring_n","PIPO_autumn_n",60,TRUE,FALSE,TRUE,FALSE
"PIPO_spring_n","PIPO_autumn_n",65,TRUE,FALSE,FALSE,FALSE
"PIPO_autumn_o","PIPO_autumn_n",45,TRUE,TRUE,TRUE,FALSE
"PIPO_autumn_o","PIPO_autumn_n",50,TRUE,TRUE,TRUE,FALSE
"PIPO_autumn_o","PIPO_autumn_n",55,TRUE,TRUE,TRUE,FALSE
"PIPO_autumn_o","PIPO_autumn_n",60,TRUE,TRUE,TRUE,FALSE
"PIPO_autumn_o","PIPO_autumn_n",65,TRUE,FALSE,TRUE,FALSE
"PSME_spring_o","PSME_spring_n",45,TRUE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_spring_n",50,TRUE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_spring_n",55,TRUE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_spring_n",60,TRUE,TRUE,TRUE,FALSE
"PSME_spring_o","PSME_spring_n",65,TRUE,TRUE,TRUE,FALSE
"PSME_spring_o","PSME_autumn_o",45,TRUE,FALSE,TRUE,FALSE
"PSME_spring_o","PSME_autumn_o",50,TRUE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_autumn_o",55,TRUE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_autumn_o",60,FALSE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_autumn_o",65,FALSE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_autumn_n",45,TRUE,TRUE,TRUE,FALSE
"PSME_spring_o","PSME_autumn_n",50,TRUE,TRUE,FALSE,FALSE
"PSME_spring_o","PSME_autumn_n",55,TRUE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_autumn_n",60,FALSE,FALSE,FALSE,FALSE
"PSME_spring_o","PSME_autumn_n",65,FALSE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_o",45,TRUE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_o",50,TRUE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_o",55,FALSE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_o",60,FALSE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_o",65,FALSE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_n",45,TRUE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_n",50,TRUE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_n",55,FALSE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_n",60,FALSE,FALSE,FALSE,FALSE
"PSME_spring_n","PSME_autumn_n",65,FALSE,TRUE,FALSE,FALSE
"PSME_autumn_o","PSME_autumn_n",45,TRUE,TRUE,TRUE,FALSE
"PSME_autumn_o","PSME_autumn_n",50,TRUE,TRUE,TRUE,FALSE
"PSME_autumn_o","PSME_autumn_n",55,TRUE,TRUE,TRUE,FALSE
"PSME_autumn_o","PSME_autumn_n",60,TRUE,TRUE,TRUE,FALSE
"PSME_autumn_o","PSME_autumn_n",65,TRUE,TRUE,TRUE,FALSE
